"Name","Alignment","Variants and Titles in Text","Persian Substrate Name","Substrate Certainty","Persian Literal Reading","Etymology Note","Correspondential Spiritual Meaning"
"Father of Greatness","Realm of Light — Supreme Origin","Father; God of truth; first established one; King of the lights; first Father","Ahura Mazda in his transcendent self-subsistent form; Zurvan Akarana (Boundless Time) in Zurvanite tradition as the boundless origin preceding the duality","Probable","Lord of Wisdom (Ahura Mazda) / Boundless Time (Zurvan Akarana)",,"The Infinite Divine Love itself — the Lord's own Esse from which all emanations proceed and to which all return; absolute origin of all good and being; established in himself alone without limit or measure; his five limbs (mind, thought, insight, counsel, consideration) are five essential faculties of the Divine Itself; the teaching constantly states he is hidden and immeasurable"
"Mother of Life","Realm of Light — First Proceeding","Great Spirit; first Holy Spirit; Mother of the living; first Mother","Spenta Mainyu (Bounteous Spirit)","Established","Bounteous Spirit",,"Divine Truth proceeding from Love as the generative matrix of all spiritual life; the womb from which all derivative spiritual states are born; first to emerge from the Father; spent immeasurable time within the Father before being called forth — corresponding to Divine Truth existing in potential within Divine Love before proceeding; mother of the First Man; intercedes for his rescue; she and the Father of Life construct the universe"
"First Man","Realm of Light — Descending","the Man; blessed Man; living Man; First living Man; Lord as Divine Human","Ohrmazd / Hormizd","Established","Lord Wisdom","same root as Ahura Mazda; the good creating spirit in its descending human-facing form","The Lord as the Celestial Human — the Divine Rational proceeding into combat with the hells; clothed in five garments (five external truths) and descending voluntarily into the deepest states of temptation; prevails through patience and stillness not through force; his five sons remain behind in darkness after his ascent; the first and greatest of all the judges; spent an immeasurable duration in the land of darkness"
"Living Spirit","Realm of Light — Ordering and Rescuing","Father of Life; Creator; Architect of the World","Mihryazd (Mithra as divine being)","Established","The Divine Covenant / Lord of Covenants","Mithra is the deity who upholds all compacts and agreements","The Lord's operative Divine Truth proceeding from Love — the Divine power that rescues, orders, judges, constructs, and sustains the whole spiritual world; rescues the First Man from the abyss; constructs the universe from the bodies of defeated rulers; performs seven complete works of spiritual regeneration; second judge; sends the Summons to the First Man"
"Third Ambassador","Realm of Light — Manifesting","Ambassador; King of the Zone; Master of All Advices","Narisaf / Narisah-yazd (Neryosang in Avestan tradition)","Established","The Manly Envoy / The Envoy","Naryosanha means literally the envoy or announcer of men; the Manly Envoy","Mediating Divine Truth that proceeds into universal manifestation — the Divine principle that purifies wisdom from its admixture with falsity by displaying the Divine image; drawing forth captive good by revealing the Divine likeness; operates through the ships of day and night; sixth judge; second father (called forth by the Father directly); inspects the completed works of creation"
"Beloved of the Lights","Realm of Light — Second Emanation","the Beloved; Great Honoured Beloved","Roshan-shah (King of the Lights) — probable Manichaean reconstruction; no direct Avestan attestation","Tentative","King of Radiance / King of Lights",,"Divine Good made manifest through Wisdom — the union of love and truth as perceived by all illuminated faculties; second direct emanation from the Father alongside the Great Spirit; humiliates the Darkness; associated with honor and the affectional dimension of the Lord's operation; gives victory to the aeons"
"Great Builder","Realm of Light — Constructive","The Architect; Master Architect","Bam-yazd — Manichaean period construction; functionally related to Asha Vahishta (Best Righteousness / cosmic order) in Zoroastrian tradition","Tentative","The Dawn","Bam means dawn or morning; yazd means deity — the substrate name means the Dawn Deity; rendered as the Dawn","The Divine Wisdom that organizes understanding into coherent spiritual form — the ordering power that constructs the interior architecture of the regenerating mind; builds the new aeon of joy (new heaven) and a prison for the enemy; fourth judge; works according to plan as a master architect who sees what each piece of unformed good may become"
"Jesus the Splendour","Realm of Light — Illuminating","the glorious one; Son of Greatness; Releaser and Redeemer","Xradeshahr (Splendour of the Realm) in Manichaean Persian; deeper substrate: xvarənah / farr (divine luminous glory) as a cosmic proceeding","Established","Kingdom of Wisdom / Realm of Right Reason","Xradeshahr: xrad (wisdom / right reason) + shahr (realm / kingdom)","The Lord as Divine Wisdom made radiant — Divine Truth in its fullness of glory proceeding to illuminate, liberate, and regenerate; hunts after light and life through wisdom; uproots evil perceptions (the bad fig-garden) and plants the tree of life; fourth day; third father (proceeding from the Ambassador); father of all apostles; eighth judge; enlightens Adam"
"Pillar of Glory","Realm of Light — Sustaining","Perfect Man; great porter; Pillar; Column of Glory","Sraosha (Srosh-ahray in Manichaean Persian) — the Zoroastrian divine being of obedience who upholds cosmic order and carries souls of the righteous","Probable","Obedience / Hearkening","Sraosha means the act of listening and obeying divine command","The sustaining Divine Truth connecting all degrees — the fully realized Divine Human form that upholds all spiritual order from the lowest to the highest; the vertical axis through which all influx descends and all purified good ascends; bears all burdens above and below; first of all weight-carriers; seventh judge; its base reaches from the earth to heaven"
"Virgin of Light","Realm of Light — Pure Wisdom","Light Virgin; Holy Virgin; Pure Uncorrupted Wisdom","Kanyag (the Maiden) in Sogdian Manichaean texts; related to Ashi Vanguhi (Good Fortune / celestial maiden) in Zoroastrian tradition","Established for Kanyag","The Maiden",,"Pure uncorrupted wisdom — the affection of truth from good in its pristine celestial innocence; captivates the rulers through her spiritual beauty; draws captive good toward liberation; guides the new man; robes the soul at the moment of life; third emanation of the Ambassador; ninth judge; called 'the hour of life — she is the first but she is also the last'"
"Light Mind","Realm of Light — Regenerating","The Mind; Awakener; Gatherer of the Scattered","Wahman / Vohu Manah (Good Mind / Good Thought) — first and most important of the Amesha Spentas","Established","Good Mind / Good Thought","Vohu Manah: vohu (good) + manah (mind / thought)","The Lord's Divine Wisdom entering and operating within the human understanding — the interior illumination that regenerates the person; descends into the individual body; binds the old man with five counsels; loosens the soul's faculties from falsity; constructs the new man with five living members (love, faith, perfection, patience, wisdom); fourth father; eleventh judge"
"Great Judge (Judge of Truth)","Realm of Light — Judging","The Judge; Judge of the Atmosphere","Rashnu — the Zoroastrian divine weigher of souls at the Chinvat Bridge; holds the scales of absolute judgment; third member of the bridge-tribunal alongside Mithra (Living Spirit) and Sraosha (Pillar of Glory)","Probable","Justice / Right Judgment","Rashnu means justice or rightness in the sense of the cosmic scales","Divine Truth as it performs separation and judgment in the intermediate state; dwells in the atmosphere and judges all mankind; makes the final separation between the righteous and the sinners; three paths are distinguished before him: to death, to life, to the mingling; tenth judge; second power summoned by Jesus the Splendour"
"The Youth (Jesus the Youth)","Realm of Light — Responsive","Jesus the Youth; Image of the Living Word","Unknown — Meshyag is a tentative Manichaean scholarly reconstruction without strong Avestan precedent","Unknown","Persian substrate name uncertain","Meshyag may relate to the primordial human; literal meaning unclear","The image of the living Word — the active reception of influx in the natural mind; the first responsive form placed in the elements; formed by Jesus the Splendour and set there as the image of utterance and obedience; third power summoned by Jesus the Splendour"
